iter	Passed	Remaining
1329	217110	272612
1330	217279	272456
1331	217456	272310
1332	217627	272157
1333	217798	272003
1334	217954	271830
1335	218119	271670
1336	218276	271499
1337	218430	271323
1338	218586	271151
1339	218735	270970
1340	218907	270817
1341	219077	270663
1342	219250	270512
1343	219414	270350
1344	219597	270211
1345	219768	270057
1346	219928	269889
1347	220068	269698
1348	220217	269517
1349	220367	269337
1350	220516	269157
1351	220668	268980
1352	220834	268820
1353	221002	268663
1354	221174	268510
1355	221340	268351
1356	221516	268203
1357	221698	268062
1358	221857	267893
1359	222011	267719
1360	222161	267540
1361	222313	267363
1362	222465	267187
1363	222617	267009
1364	222776	266842
1365	222936	266675
1366	223115	266530
1367	223320	266416
1368	223492	266264
1369	223653	266098
1370	223819	265938
1371	223978	265770
1372	224125	265588
1373	224271	265404
1374	224432	265238
1375	224585	265063
1376	224736	264885
1377	224910	264734
1378	225081	264580
1379	225251	264425
1380	225429	264279
1381	225606	264132
1382	225782	263983
1383	225932	263805
1384	226087	263632
1385	226236	263453
1386	226387	263274
1387	226535	263094
1388	226691	262923
1389	226863	262770
1390	227021	262600
1391	227195	262450
1392	227370	262300
1393	227536	262140
1394	227729	262011
1395	227891	261846
1396	228067	261697
1397	228236	261541
1398	228395	261372
1399	228569	261222
1400	228742	261069
1401	228888	260886
1402	229038	260709
1403	229201	260545
1404	229349	260364
1405	229510	260199
1406	229664	260025
1407	229819	259852
1408	229987	259694
1409	230157	259539
1410	230327	259383
1411	230484	259213
1412	230652	259055
1413	230814	258890
1414	230969	258718
1415	231121	258542
1416	231276	258370
1417	231420	258185
1418	231581	258019
1419	231739	257850
1420	231916	257703
1421	232090	257551
1422	232272	257409
1423	232441	257252
1424	232615	257101
1425	232832	256997
1426	233056	256901
1427	233229	256748
1428	233382	256573
1429	233532	256396
1430	233687	256223
1431	233848	256057
1432	234031	255915
1433	234195	255753
1434	234371	255603
1435	234534	255439
1436	234707	255286
1437	234882	255136
1438	235061	254989
1439	235232	254835
1440	235409	254686
1441	235584	254536
1442	235755	254380
1443	235916	254214
1444	236066	254036
1445	236215	253858
1446	236362	253677
1447	236503	253490
1448	236662	253321
1449	236848	253183
1450	237011	253019
1451	237184	252866
1452	237358	252714
1453	237528	252557
1454	237700	252403
1455	237860	252236
1456	238017	252066
1457	238169	251890
1458	238325	251720
1459	238471	251537
1460	238629	251369
1461	238797	251211
1462	238966	251054
1463	239136	250896
1464	239312	250746
1465	239485	250593
1466	239657	250439
1467	239815	250271
1468	239968	250096
1469	240116	249917
1470	240271	249744
1471	240425	249572
1472	240570	249389
1473	240719	249211
1474	240875	249040
1475	241052	248891
1476	241218	248730
1477	241380	248566
1478	241542	248401
1479	241701	248234
1480	241860	248066
1481	242013	247891
1482	242176	247728
1483	242332	247557
1484	242486	247385
1485	242642	247214
1486	242788	247033
1487	242962	246881
1488	243133	246725
1489	243291	246557
1490	243462	246401
1491	243634	246246
1492	243796	246082
1493	243950	245910
1494	244108	245741
1495	244260	245566
1496	244412	245392
1497	244561	245214
1498	244714	245041
1499	244891	244891
1500	245064	244738
1501	245245	244592
1502	245422	244442
1503	245595	244289
1504	245764	244131
1505	245929	243969
1506	246088	243802
1507	246235	243623
1508	246389	243450
1509	246541	243275
1510	246695	243103
1511	246870	242952
1512	247112	242866
1513	247282	242709
1514	247453	242553
1515	247636	242409
1516	247805	242251
1517	247958	242077
1518	248112	241905
1519	248265	241732
1520	248424	241564
1521	248571	241385
1522	248729	241217
1523	248894	241055
1524	249067	240901
1525	249230	240737
1526	249395	240576
1527	249564	240417
1528	249741	240268
1529	249898	240098
1530	250050	239924
1531	250196	239744
1532	250352	239574
1533	250508	239403
1534	250653	239222
1535	250814	239057
1536	250979	238896
1537	251155	238744
1538	251328	238590
1539	251507	238441
1540	251676	238283
1541	251843	238124
1542	252011	237965
1543	252176	237803
1544	252350	237650
1545	252520	237493
1546	252686	237332
1547	252850	237170
1548	253023	237015
1549	253180	236846
1550	253349	236688
1551	253523	236535
1552	253696	236380
1553	253857	236215
1554	254005	236037
1555	254161	235867
1556	254317	235696
1557	254467	235521
1558	254616	235344
1559	254760	235163
1560	254933	235009
1561	255107	234855
1562	255276	234697
1563	255445	234539
1564	255624	234390
1565	255784	234224
1566	255929	234044
1567	256075	233864
1568	256226	233690
1569	256368	233507
1570	256517	233331
1571	256671	233159
1572	256830	232992
1573	256995	232830
1574	257157	232666
1575	257332	232513
1576	257505	232359
1577	257673	232199
1578	257829	232029
1579	257971	231847
1580	258126	231677
1581	258279	231504
1582	258437	231336
1583	258586	231160
1584	258744	230992
1585	258925	230845
1586	259090	230683
1587	259264	230529
1588	259429	230367
1589	259594	230206
1590	259768	230052
1591	259931	229889
1592	260090	229722
1593	260232	229540
1594	260388	229370
1595	260531	229189
1596	260678	229011
1597	260836	228844
1598	261006	228686
1599	261177	228530
1600	261345	228371
1601	261518	228216
1602	261698	228067
1603	261852	227896
1604	262002	227721
1605	262152	227547
1606	262305	227375
1607	262454	227199
1608	262607	227027
1609	262759	226854
1610	262935	226701
1611	263109	226548
1612	263280	226391
1613	263450	226234
1614	263617	226074
1615	263781	225911
1616	263936	225741
1617	264090	225570
1618	264249	225403
1619	264417	225244
1620	264570	225072
1621	264717	224895
1622	264890	224740
1623	265062	224584
1624	265229	224425
1625	265426	224290
1626	265663	224189
1627	265895	224083
1628	266067	223927
1629	266236	223769
1630	266411	223615
1631	266580	223457
1632	266754	223302
1633	266904	223128
1634	267061	222959
1635	267218	222790
1636	267373	222620
1637	267530	222452
1638	267683	222280
1639	267841	222112
1640	268004	221948
1641	268186	221801
1642	268358	221645
1643	268535	221492
1644	268695	221326
1645	268862	221166
1646	269016	220995
1647	269187	220838
1648	269339	220665
1649	269490	220492
1650	269648	220324
1651	269809	220159
1652	269990	220010
1653	270158	219850
1654	270330	219694
1655	270505	219541
1656	270679	219386
1657	270845	219224
1658	270996	219051
1659	271144	218876
1660	271300	218706
